indicador,region,rank_2025,score_2025,rank_2024,score_2024,rank_2019,score_2019
Tratamiento de aguas residuales,Amazonas,20,0,20,0,20,0
Calidad del aire,Amazonas,5,19.3,5,19.3,7,17.5
Acceso a agua segura,Amazonas,21,12.4,21,9.4,24,8.2
Consumo de energías limpias,Amazonas,21,79,17,81.3,20,72.7
Generación total de residuos sólidos municipales ajustados por PBI,Amazonas,12,8.2,11,8.3,15,11.5
Degradación de ecosistemas,Amazonas,19,29.1,19,29.1,19,28.6
Disposición adecuada de residuos,Amazonas,23,45.1,23,45.1,19,38.5
Tratamiento de aguas residuales,Ancash,12,60.9,12,60.4,12,54.2
Calidad del aire,Ancash,15,23.9,15,23.9,17,25.1
Acceso a agua segura,Ancash,9,26,8,27.4,10,27.3
Consumo de energías limpias,Ancash,19,80.7,18,80.1,21,72.7
Generación total de residuos sólidos municipales ajustados por PBI,Ancash,9,6.5,10,7.2,6,8.7
Degradación de ecosistemas,Ancash,3,1.2,3,1.2,4,1.8
Disposición adecuada de residuos,Ancash,18,59,18,59,21,36.9
Tratamiento de aguas residuales,Apurimac,20,0,20,0,20,0
Calidad del aire,Apurimac,10,21.6,10,21.6,10,21.5
Acceso a agua segura,Apurimac,22,10.5,22,9.1,23,10.3
Consumo de energías limpias,Apurimac,17,82.4,20,78.8,19,73.6
Generación total de residuos sólidos municipales ajustados por PBI,Apurimac,2,3.6,2,4,3,7
Degradación de ecosistemas,Apurimac,1,0.9,1,0.9,1,0.8
Disposición adecuada de residuos,Apurimac,15,62.7,15,62.7,14,46.9
Tratamiento de aguas residuales,Arequipa,6,94.6,6,94.2,4,94
Calidad del aire,Arequipa,1,13.8,1,13.8,1,11.6
Acceso a agua segura,Arequipa,5,42.6,5,40.3,1,70.4
Consumo de energías limpias,Arequipa,2,97,2,97.4,2,94.6
Generación total de residuos sólidos municipales ajustados por PBI,Arequipa,10,6.9,9,7,8,9
Degradación de ecosistemas,Arequipa,2,1.1,2,1.1,3,1.7
Disposición adecuada de residuos,Arequipa,2,87,2,87,2,74.8
Tratamiento de aguas residuales,Ayacucho,1,99.2,2,99.1,1,100
Calidad del aire,Ayacucho,13,23.1,13,23.1,13,23
Acceso a agua segura,Ayacucho,8,30.8,7,31.5,7,35.9
Consumo de energías limpias,Ayacucho,20,80.2,21,77.2,18,78
Generación total de residuos sólidos municipales ajustados por PBI,Ayacucho,17,10.3,17,11.1,21,14.9
Degradación de ecosistemas,Ayacucho,8,6,8,6,8,5.1
Disposición adecuada de residuos,Ayacucho,7,79.2,7,79.2,5,63.7
Tratamiento de aguas residuales,Cajamarca,13,34.1,13,33.3,14,29.1
Calidad del aire,Cajamarca,6,19.7,6,19.7,5,17.3
Acceso a agua segura,Cajamarca,20,12.5,19,12.7,22,13.1
Consumo de energías limpias,Cajamarca,23,71.4,24,66.9,23,65.8
Generación total de residuos sólidos municipales ajustados por PBI,Cajamarca,5,5.5,7,6.7,11,9.4
Degradación de ecosistemas,Cajamarca,15,14.4,15,14.4,15,14.2
Disposición adecuada de residuos,Cajamarca,22,47,22,47,11,50
Tratamiento de aguas residuales,Cusco,9,79,9,80.9,8,73.6
Calidad del aire,Cusco,18,26,18,26,15,24.8
Acceso a agua segura,Cusco,6,41.8,6,40.1,6,39
Consumo de energías limpias,Cusco,10,89.6,11,86.1,9,86.7
Generación total de residuos sólidos municipales ajustados por PBI,Cusco,7,6,5,5.8,5,8.6
Degradación de ecosistemas,Cusco,17,23.8,17,23.8,18,22.4
Disposición adecuada de residuos,Cusco,10,72.1,10,72.1,12,48.6
Tratamiento de aguas residuales,Huancavelica,20,0,20,0,20,0
Calidad del aire,Huancavelica,11,21.8,11,21.8,12,22.9
Acceso a agua segura,Huancavelica,17,14.6,17,13,21,13.3
Consumo de energías limpias,Huancavelica,22,76.3,22,69.5,24,64.3
Generación total de residuos sólidos municipales ajustados por PBI,Huancavelica,4,5,4,5.7,4,7.2
Degradación de ecosistemas,Huancavelica,5,1.3,5,1.3,2,1.3
Disposición adecuada de residuos,Huancavelica,20,53.2,20,53.2,17,43.2
Tratamiento de aguas residuales,Huanuco,19,0,19,0,19,0
Calidad del aire,Huanuco,14,23.4,14,23.4,16,24.8
Acceso a agua segura,Huanuco,10,25.2,10,24.2,11,25.4
Consumo de energías limpias,Huanuco,24,69.5,23,67.1,22,66.6
Generación total de residuos sólidos municipales ajustados por PBI,Huanuco,15,9.8,14,9.9,17,12.2
Degradación de ecosistemas,Huanuco,22,39.9,22,39.9,22,35.8
Disposición adecuada de residuos,Huanuco,12,67.8,12,67.8,20,37.8
Tratamiento de aguas residuales,Ica,8,84.7,8,90.5,6,80.2
Calidad del aire,Ica,9,20.6,9,20.6,10,21.5
Acceso a agua segura,Ica,13,18.1,14,18,16,21
Consumo de energías limpias,Ica,3,96.9,3,96,3,93.9
Generación total de residuos sólidos municipales ajustados por PBI,Ica,8,6.4,7,6.7,8,9
Degradación de ecosistemas,Ica,7,1.9,7,1.9,7,2.4
Disposición adecuada de residuos,Ica,3,86.4,3,86.4,7,58.7
Tratamiento de aguas residuales,Junin,15,13.2,15,11.8,15,14
Calidad del aire,Junin,21,27.3,21,27.3,19,28.1
Acceso a agua segura,Junin,12,19.9,12,21,12,24.4
Consumo de energías limpias,Junin,11,89.3,12,86.1,11,85.1
Generación total de residuos sólidos municipales ajustados por PBI,Junin,16,10,15,10.5,13,11.3
Degradación de ecosistemas,Junin,20,31.9,20,31.9,20,30
Disposición adecuada de residuos,Junin,4,86,4,86,6,59.5
Tratamiento de aguas residuales,La Libertad,11,68,11,65.7,9,66.8
Calidad del aire,La Libertad,19,26.2,19,26.2,18,25.7
Acceso a agua segura,La Libertad,18,13.3,16,14.8,17,20.1
Consumo de energías limpias,La Libertad,13,88.6,14,85.5,10,86.2
Generación total de residuos sólidos municipales ajustados por PBI,La Libertad,19,10.9,19,11.8,18,13.6
Degradación de ecosistemas,La Libertad,10,7.1,10,7.1,10,7.6
Disposición adecuada de residuos,La Libertad,13,67.2,13,67.2,15,46.4
Tratamiento de aguas residuales,Lambayeque,3,98,1,99.1,2,99
Calidad del aire,Lambayeque,24,28.7,24,28.7,20,28.5
Acceso a agua segura,Lambayeque,23,8.9,24,8.3,18,16
Consumo de energías limpias,Lambayeque,12,89.1,8,89.6,6,89.6
Generación total de residuos sólidos municipales ajustados por PBI,Lambayeque,21,13.2,20,14.1,22,17.4
Degradación de ecosistemas,Lambayeque,11,7.4,11,7.4,12,10.7
Disposición adecuada de residuos,Lambayeque,14,65.8,14,65.8,23,30.4
Tratamiento de aguas residuales,Lima,4,95.2,5,95.6,5,92.2
Calidad del aire,Lima,20,27,20,27,23,29.6
Acceso a agua segura,Lima,1,76.7,1,76,2,69.2
Consumo de energías limpias,Lima,1,98.2,1,98.3,1,97.3
Generación total de residuos sólidos municipales ajustados por PBI,Lima,14,9.6,13,9.8,12,10.6
Degradación de ecosistemas,Lima,NA,NA,NA,NA,NA,NA
Disposición adecuada de residuos,Lima,1,100,1,100,1,100
Tratamiento de aguas residuales,Lima Provincias,17,8.6,17,7.3,16,5.7
Calidad del aire,Lima Provincias,23,27.6,23,27.6,24,30
Acceso a agua segura,Lima Provincias,7,35,9,24.3,9,31.5
Consumo de energías limpias,Lima Provincias,5,93,7,92.3,7,89.1
Generación total de residuos sólidos municipales ajustados por PBI,Lima Provincias,11,7.5,12,8.8,10,9.1
Degradación de ecosistemas,Lima Provincias,NA,NA,NA,NA,NA,NA
Disposición adecuada de residuos,Lima Provincias,8,78,8,78,16,44.1
Tratamiento de aguas residuales,Loreto,20,0,20,0,20,0
Calidad del aire,Loreto,17,25.8,17,25.8,14,23.6
Acceso a agua segura,Loreto,15,16.8,13,20.2,20,13.6
Consumo de energías limpias,Loreto,25,65,25,63,25,56.1
Generación total de residuos sólidos municipales ajustados por PBI,Loreto,23,15.5,23,16.3,23,18.7
Degradación de ecosistemas,Loreto,14,13.1,14,13.1,13,11.6
Disposición adecuada de residuos,Loreto,21,47,21,47,4,65.2
Tratamiento de aguas residuales,Madre de Dios,20,0,20,0,20,0
Calidad del aire,Madre de Dios,25,36.4,25,36.4,25,33.1
Acceso a agua segura,Madre de Dios,2,72.2,2,96.2,3,67.7
Consumo de energías limpias,Madre de Dios,15,86.5,13,86,13,83.3
Generación total de residuos sólidos municipales ajustados por PBI,Madre de Dios,22,15.4,22,16.1,15,11.5
Degradación de ecosistemas,Madre de Dios,16,21.1,16,21.1,16,18.5
Disposición adecuada de residuos,Madre de Dios,25,13.9,25,13.9,8,57.5
Tratamiento de aguas residuales,Moquegua,5,95.1,3,97.8,3,94.7
Calidad del aire,Moquegua,3,15.4,3,15.4,3,12.5
Acceso a agua segura,Moquegua,4,52.1,3,55,5,61.3
Consumo de energías limpias,Moquegua,8,90.3,6,92.5,8,88.5
Generación total de residuos sólidos municipales ajustados por PBI,Moquegua,1,2.6,1,3,1,4.3
Degradación de ecosistemas,Moquegua,6,1.4,6,1.4,6,1.8
Disposición adecuada de residuos,Moquegua,5,81,5,81,18,42.5
Tratamiento de aguas residuales,Pasco,20,0,20,0,20,0
Calidad del aire,Pasco,22,27.3,22,27.3,21,28.6
Acceso a agua segura,Pasco,25,4.6,25,4.1,25,4.8
Consumo de energías limpias,Pasco,9,89.9,9,89.5,14,83.3
Generación total de residuos sólidos municipales ajustados por PBI,Pasco,3,4,3,4.7,2,6.6
Degradación de ecosistemas,Pasco,21,33.3,21,33.3,21,30.8
Disposición adecuada de residuos,Pasco,9,73.7,9,73.7,10,52.2
Tratamiento de aguas residuales,Piura,10,76.6,10,76.5,7,75.7
Calidad del aire,Piura,7,19.9,7,19.9,8,18
Acceso a agua segura,Piura,24,6.3,23,8.9,14,24.2
Consumo de energías limpias,Piura,16,85,16,81.4,16,79.6
Generación total de residuos sólidos municipales ajustados por PBI,Piura,18,10.9,16,11,20,14.6
Degradación de ecosistemas,Piura,9,6.5,9,6.5,11,10.2
Disposición adecuada de residuos,Piura,17,61.8,17,61.8,24,27.5
Tratamiento de aguas residuales,Puno,7,86,7,91.3,11,58.3
Calidad del aire,Puno,8,20.2,8,20.2,4,17.2
Acceso a agua segura,Puno,16,15.2,15,15.2,19,14.5
Consumo de energías limpias,Puno,14,88.1,15,83.1,12,84.9
Generación total de residuos sólidos municipales ajustados por PBI,Puno,13,9.3,18,11.3,14,11.4
Degradación de ecosistemas,Puno,13,12.3,13,12.3,14,12
Disposición adecuada de residuos,Puno,19,57.7,19,57.7,9,54.3
Tratamiento de aguas residuales,San Martin,16,12,16,9.7,17,2.6
Calidad del aire,San Martin,12,21.9,12,21.9,9,21.5
Acceso a agua segura,San Martin,11,20.3,11,21.8,15,23.6
Consumo de energías limpias,San Martin,7,90.7,10,86.3,15,83
Generación total de residuos sólidos municipales ajustados por PBI,San Martin,25,17,24,18.8,24,21.2
Degradación de ecosistemas,San Martin,23,52.4,23,52.4,23,45.5
Disposición adecuada de residuos,San Martin,16,62.7,16,62.7,13,48.1
Tratamiento de aguas residuales,Tacna,2,98.1,4,96.2,10,65.5
Calidad del aire,Tacna,2,14.1,2,14.1,2,12.2
Acceso a agua segura,Tacna,3,52.5,4,51.4,4,65.4
Consumo de energías limpias,Tacna,4,94.6,5,94.7,4,65.4
Generación total de residuos sólidos municipales ajustados por PBI,Tacna,6,5.9,6,6.2,6,8.7
Degradación de ecosistemas,Tacna,4,1.2,4,1.2,5,1.8
Disposición adecuada de residuos,Tacna,6,80.3,6,80.3,3,69
Tratamiento de aguas residuales,Tumbes,14,30.4,14,32.7,13,39.5
Calidad del aire,Tumbes,4,18.9,4,18.9,6,17.5
Acceso a agua segura,Tumbes,19,12.5,18,12.8,8,33.6
Consumo de energías limpias,Tumbes,5,93,4,95.1,5,90.3
Generación total de residuos sólidos municipales ajustados por PBI,Tumbes,20,12.8,21,14.4,19,14
Degradación de ecosistemas,Tumbes,12,7.5,12,6.9,9,6.2
Disposición adecuada de residuos,Tumbes,11,70.9,11,70.9,22,32.2
Tratamiento de aguas residuales,Ucayali,18,4.9,18,4.4,18,2.3
Calidad del aire,Ucayali,16,25.4,16,25.4,22,29.1
Acceso a agua segura,Ucayali,14,17.2,20,12.1,13,24.3
Consumo de energías limpias,Ucayali,18,82.3,19,79.4,17,79.1
Generación total de residuos sólidos municipales ajustados por PBI,Ucayali,24,16.7,25,19.7,25,22.7
Degradación de ecosistemas,Ucayali,18,24.7,18,23.9,17,20.1
Disposición adecuada de residuos,Ucayali,24,36.6,24,36.6,25,26.8
